time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,thrust,normalized_tau_x,normalized_tau_y,normalized_tau_z,normalized_thrust,throttle1,throttle2,throttle3,throttle4
0.0,0.0,0.0,-0.0002703065162200162,0.0,0.0,-0.027030651622001623,10.660402256699758,-0.4261516146875469,0.24675366305648222,-0.31213376307241014,0.724458189378169,1.0,1.0,0.1,0.7978327575126759
0.01,0.0,0.0,-0.0008112243282631872,0.0,0.0,-0.054091781204317096,10.65583056265268,-0.4256077959135067,0.24631423362663613,-0.3124857042899792,0.7241475068061625,1.0,1.0,0.1,0.7965900272246498
0.02,0.0,0.0,-0.001623063604406119,0.0,0.0,-0.08118392761429319,10.651178038503586,-0.4250543621200595,0.24586703483924371,-0.3128438680246781,0.7238313311929042,1.0,1.0,0.1,0.7953253247716168
0.03,0.0,0.0,-0.0027061399382924743,0.0,0.0,-0.10830763338863553,10.646444133848648,-0.4244912478347721,0.24541201378970617,-0.3132082966480634,0.7235096251341249,1.0,1.0,0.1,0.7940385005364994
0.04,0.0,0.0,-0.004060774386441456,0.0,0.0,-0.13546344481489817,10.641628286060604,-0.42391838613119115,0.24494911639851286,-0.31357903347268434,0.7231823503948762,1.0,1.0,0.1,0.7927294015795046
0.05,0.0,0.0,-0.00568729350658967,0.0,0.0,-0.16265191201482143,10.63672992001151,-0.42333570859586467,0.2444782873845927,-0.31395612277342577,0.7228494678906905,1.0,1.0,0.1,0.7913978715627621
0.06,0.0,0.0,-0.007586029396885486,0.0,0.0,-0.18987358902958157,10.63174844778598,-0.4227431452942288,0.24399947023774987,-0.314339609809585,0.7225109376680924,1.0,1.0,0.1,0.7900437506723693
0.07,0.0,0.0,-0.009757319735955672,0.0,0.0,-0.21712903390701854,10.626683268384456,-0.4221406247353143,0.24351260719014428,-0.3147295408477125,0.7221667188844346,1.0,1.0,0.1,0.7886668755377384
0.08,0.0,0.0,-0.012201507823864777,0.0,0.0,-0.2444188087909105,10.62153376741621,-0.42152807383522467,0.24301763918678126,-0.31512596318524766,0.7218167697870342,1.0,1.0,0.1,0.7872670791481369
0.09,0.0,0.0,-0.014918942623988445,0.0,0.0,-0.27174348001236676,10.616299316781562,-0.42090541787933705,0.2425145058549671,-0.3155289251749811,0.7214610476915775,1.0,1.0,0.1,0.7858441907663096
0.1,0.0,0.0,-0.017909978805822582,0.0,0.0,-0.2991036181834138,10.610979274342943,-0.4202725804831727,0.24200314547269158,-0.3159384762503782,0.721099508959765,1.0,1.0,0.1,0.7843980358390601
0.11,0.0,0.0,-0.0211749767887511,0.0,0.0,-0.3264997982928518,10.605572983584297,-0.4196294835518826,0.24148349493589055,-0.31635466695179804,0.720732108976167,1.0,1.0,0.1,0.7829284359046679
0.12,0.0,0.0,-0.024714302786795726,0.0,0.0,-0.3539325998044627,10.60007977325837,-0.41897604723829096,0.24095548972454223,-0.3167775489536472,0.7203588021242522,1.0,1.0,0.1,0.7814352084970086
